SEX,LENGTH,DIAM,HEIGHT,WHOLE,SHUCK,RINGS,CLASS
F,13.65,10.605,3.675,150.9375,64.450625,10,A3
F,13.335,10.395,3.675,154.4375,65.713125,10,A3
F,11.55,9.135,2.94,96.240625,43.80875,9,A3
F,13.755,10.815,3.78,180.03,79.760625,11,A4
F,14.91,11.97,4.095,252.51375,127.784375,12,A4
F,13.65,11.865,4.2,212.22375,96.94875,12,A4
F,13.86,10.5,3.465,151.78875,59.031875,12,A4
F,10.92,8.505,2.94,88.16625,35.535,11,A4
F,13.125,10.29,4.2,176.26875,75.898125,11,A4
F,14.28,11.55,3.675,187.8075,91.79875,11,A4
F,12.495,9.765,3.15,130.75125,53.045,11,A4
F,13.44,10.71,4.2,177.28875,78.5375,12,A4
F,14.07,11.34,4.095,206.4225,95.275,11,A4
F,12.495,9.45,3.465,137.8275,63.0875,12,A4
F,13.755,11.34,4.515,198.32625,89.48125,11,A4
F,13.86,11.13,3.885,171.615,70.2975,11,A4
F,12.81,9.975,2.94,144.4575,67.915625,11,A4
F,13.335,10.185,3.255,136.8075,60.12625,11,A4
F,13.335,10.605,3.255,164.41125,76.4775,11,A4
F,14.28,11.76,4.095,226.63125,110.85375,11,A4
F,11.55,9.03,3.255,100.0875,37.20875,11,A4
F,12.81,9.87,4.095,162.37125,60.38375,12,A4
F,14.28,10.815,3.675,206.35875,65.984375,12,A4
F,13.755,10.5,4.305,194.82,80.018125,11,A4
F,14.91,11.55,3.57,205.785,95.66125,11,A4
F,13.755,10.605,4.095,183.66375,88.58,11,A4
F,12.39,9.975,3.255,123.86625,47.76625,11,A4
F,12.285,8.82,3.255,131.835,56.26375,11,A4
F,13.86,10.605,3.885,194.82,88.8375,11,A4
F,14.175,11.34,4.41,203.1075,88.3225,11,A4
F,14.28,10.605,3.57,171.29625,84.58875,12,A4
F,15.12,11.865,3.78,219.1725,108.986875,11,A4
F,13.545,10.71,4.2,199.85625,79.95375,12,A4
F,14.7,11.55,3.57,214.71,97.013125,11,A4
F,12.6,9.765,3.36,144.4575,59.9975,11,A4
F,14.91,11.865,4.095,231.6675,101.06875,11,A4
F,11.76,9.66,3.78,123.675,44.0325,12,A4
F,13.755,11.34,3.675,198.70875,93.794375,11,A4
F,9.45,7.245,2.415,63.24,24.526875,12,A4
F,14.28,11.55,3.99,230.3925,105.896875,11,A4
F,15.225,11.97,4.305,206.48625,95.79,11,A4
F,13.23,10.08,3.15,134.19375,50.47,12,A4
F,13.02,10.605,3.36,174.99375,80.919375,11,A4
F,13.545,10.605,3.465,168.045,70.8125,11,A4
F,9.24,7.245,3.57,52.08375,19.3125,12,A4
F,10.605,8.505,3.78,77.265,30.77125,11,A4
F,13.44,10.92,3.675,159.12,54.654375,12,A4
F,13.44,10.185,3.045,144.52125,71.134375,11,A4
F,14.07,11.13,4.305,178.69125,82.78625,12,A4
F,12.39,9.555,3.465,148.0275,48.925,12,A4
F,9.24,7.455,2.415,52.9125,20.406875,11,A4
F,13.23,10.605,3.465,135.7875,59.160625,12,A4
F,14.175,11.865,4.095,234.28125,98.429375,12,A4
F,13.44,10.395,3.57,156.37875,63.0875,11,A4
F,15.33,12.18,3.99,221.53125,87.356875,11,A4
F,12.915,10.29,3.99,144.64875,60.448125,11,A4
F,13.965,10.92,3.465,215.28375,93.923125,11,A4
F,12.18,9.765,3.045,125.77875,60.5125,11,A4
F,8.925,7.245,2.31,46.72875,16.09375,11,A4
F,11.025,8.505,3.36,83.895,34.183125,12,A4
F,15.12,12.075,4.515,267.75,110.274375,12,A4
F,11.34,8.82,2.94,102.6375,47.50875,11,A4
F,12.81,9.87,3.465,150.25875,72.8725,11,A4
F,12.915,9.975,3.675,152.235,71.97125,11,A4
F,12.915,11.025,3.255,132.40875,54.97625,11,A4
F,14.7,11.445,2.73,198.39,86.584375,12,A4
F,14.805,11.76,3.57,185.83125,78.15125,11,A4
F,13.755,9.555,3.57,164.41125,75.57625,11,A4
F,13.44,10.605,3.99,162.75375,62.250625,12,A4
F,14.28,11.76,4.095,212.16,74.675,11,A4
F,11.445,9.24,3.675,98.74875,38.431875,11,A4
F,13.755,10.5,2.94,149.23875,69.589375,12,A4
F,10.08,7.98,3.045,79.188975,29.87,12,A4
F,13.335,10.185,3.465,161.86125,72.550625,11,A4
F,11.025,8.4,2.415,80.26125,32.895625,11,A4
F,15.015,11.025,3.885,198.9,85.683125,11,A4
F,11.655,8.925,2.94,100.47,36.3075,11,A4
F,13.965,10.605,3.36,164.66625,81.24125,11,A4
F,12.495,9.03,4.41,194.37375,84.07375,11,A4
F,11.76,9.24,2.94,118.38375,49.246875,11,A4
F,13.23,10.08,3.36,152.8725,67.786875,11,A4
F,14.07,11.55,3.99,177.28875,69.846875,12,A4
F,13.755,11.445,3.465,206.86875,84.395625,12,A4
F,12.285,8.715,3.255,89.05875,38.625,12,A4
F,12.39,8.715,3.15,112.26375,46.929375,11,A4
F,15.75,12.81,4.935,313.5625,157.08,14,A5
F,13.335,10.71,3.675,151.5625,73.12125,14,A5
F,13.23,9.975,3.675,177.875,52.97625,14,A5
F,13.02,10.71,3.15,182,74.0775,13,A5
F,9.975,7.35,2.415,60.875,24.735,13,A5
F,13.125,10.185,2.835,162.8125,77.775,14,A5
F,12.915,9.87,3.675,162.3125,65.47125,14,A5
F,12.18,9.45,4.935,133.875,38.25,14,A5
F,14.7,12.075,3.57,163.75,64.96125,14,A5
F,15.435,11.865,4.725,254.625,110.925,13,A5
F,10.71,8.19,2.205,76.5,23.8425,13,A5
F,12.18,9.555,3.57,113.4375,47.685,13,A5
F,12.705,9.45,3.465,152.8125,45.5175,13,A5
F,14.175,11.55,3.99,193.875,90.58875,13,A5
F,13.02,10.71,4.305,168.4375,60.88125,14,A5
F,11.445,9.345,3.675,106.5625,44.17875,13,A5
F,9.555,7.665,2.31,48.125,21.165,13,A5
F,13.02,10.08,4.83,136.6875,51.3825,14,A5
F,14.805,11.445,3.78,192.4375,77.45625,13,A5
F,9.765,7.98,2.835,72.375,26.52,14,A5
F,11.235,8.82,3.15,92.0625,35.50875,14,A5
F,9.03,7.035,2.52,55.5,19.7625,13,A5
F,12.6,10.605,3.99,141.125,55.90875,13,A5
F,12.39,9.345,2.73,141.5625,48.76875,13,A5
F,13.23,10.5,3.36,152.5,62.53875,14,A5
F,12.285,8.82,3.255,123.0625,56.355,13,A5
F,12.705,10.185,3.36,152.75,67.575,13,A5
F,11.34,9.135,3.675,111.5,41.055,13,A5
F,10.185,7.665,2.94,77.4375,33.08625,14,A5
F,14.595,11.025,4.305,227.3125,104.4225,13,A5
F,14.07,11.445,3.675,213.375,89.18625,13,A5
F,9.135,7.35,2.31,48,18.2325,13,A5
F,11.55,9.135,3.57,110.5,36.65625,14,A5
F,12.075,10.185,3.465,130.0625,53.4225,14,A5
F,10.92,8.61,3.57,108.8125,47.62125,14,A5
F,14.175,11.655,4.305,240.625,90.9075,13,A5
F,11.97,9.765,3.78,124.9375,51.6375,16,A5
F,8.295,6.615,2.205,43.9375,15.10875,16,A5
F,12.81,10.29,3.57,147.1875,72.10125,15,A5
F,9.45,7.98,3.465,102.0625,31.875,23,A5
F,13.965,11.235,3.99,187,73.63125,17,A5
F,15.645,12.285,3.99,245.75,107.54625,18,A5
F,13.44,11.025,4.515,222.375,57.82125,22,A5
F,12.705,9.975,3.045,127.3125,59.86125,15,A5
F,12.81,10.185,3.465,136.4375,50.17125,18,A5
F,12.495,9.975,3.57,155.875,61.2,20,A5
F,13.125,10.815,3.15,155.1875,66.74625,15,A5
F,14.805,11.655,4.2,183.5625,60.11625,19,A5
F,14.49,11.34,3.885,196.4375,88.42125,15,A5
F,12.6,9.975,3.78,147.5625,55.39875,19,A5
F,14.28,11.55,4.2,199.5,66.9375,21,A5
F,10.08,7.77,2.73,73.5625,31.55625,15,A5
F,13.545,10.29,4.515,175.75,54.37875,25,A5
F,10.92,8.505,3.045,103.625,45.07125,15,A5
F,13.86,10.92,4.2,209.5,85.8075,17,A5
F,10.29,7.665,2.73,85.4375,21.0375,21,A5
F,11.97,9.45,3.675,119.4375,48.45,18,A5
F,13.02,9.87,4.2,153.1875,48.5775,23,A5
F,14.49,11.655,4.305,227.0625,99.25875,19,A5
F,14.7,11.34,4.515,247.25,85.10625,24,A5
F,14.385,11.025,3.675,213.75,69.04125,16,A5
F,16.8,13.23,4.095,315.75,118.9575,23,A5
F,14.28,11.76,3.465,204.875,77.20125,15,A5
F,11.655,9.135,3.465,121.25,42.84,17,A5
F,12.6,9.975,3.78,145.25,65.1525,18,A5
F,12.6,10.08,3.15,128.625,52.08375,16,A5
F,10.605,8.925,2.94,106.25,35.0625,19,A5
F,14.49,11.76,4.515,214.875,86.7,17,A5
F,10.395,8.4,3.255,80.5625,30.855,17,A5
F,13.02,9.87,4.725,139.375,48.195,15,A5
F,13.02,10.92,4.725,147.9375,48.195,23,A5
F,14.28,11.55,4.41,218.0625,76.18125,17,A5
F,11.865,9.555,3.675,126.625,43.605,19,A5
F,11.235,8.715,3.885,105.1875,40.035,15,A5
F,13.965,11.13,3.885,174.4375,58.14,15,A5
F,11.97,9.24,2.94,119.1875,48.25875,17,A5
F,13.86,11.865,4.095,220.0625,88.23,16,A5
M,7.98,5.67,1.995,27.375,10.4375,6,A1
M,7.455,5.46,1.785,23.8125,10.125,6,A1
M,7.875,6.405,1.89,40.5625,17.4375,5,A1
M,10.08,7.875,2.415,84.5625,40.0625,6,A1
M,3.255,2.31,0.84,1.9375,0.8125,3,A1
M,10.5,8.19,2.625,65.1875,31.0625,6,A1
M,4.935,3.36,1.26,6.8125,3.3125,4,A1
M,10.5,8.19,2.835,82.4375,39.3125,6,A1
M,5.88,4.305,2.1,14.5625,6.8125,5,A1
M,5.67,4.095,1.68,12.5,4.8125,6,A1
M,9.45,7.035,2.625,58.259375,27.0625,6,A1
M,5.46,4.2,1.365,13.00375,5.5,6,A1
M,9.87,7.875,2.52,72.5625,32.9175,8,A2
M,6.72,5.04,1.785,21.25,8.105625,7,A2
M,8.925,6.93,1.68,45.125,16.5825,7,A2
M,8.82,7.14,2.415,52.6875,21.65625,8,A2
M,6.51,4.725,1.68,16.8125,6.6825,7,A2
M,10.605,9.24,2.94,103.4375,42.260625,8,A2
M,7.98,6.3,2.1,31.3125,13.1175,8,A2
M,11.025,8.505,2.73,89.8125,40.404375,8,A2
M,11.235,8.715,2.835,97.5,39.166875,8,A2
M,12.18,9.555,2.73,106.5,50.7375,8,A2
M,8.4,6.72,1.995,37.875,16.520625,7,A2
M,9.45,6.825,2.415,53.8125,27.658125,8,A2
M,11.235,8.505,2.94,91.4375,41.58,7,A2
M,11.025,8.715,2.835,99.3125,48.7575,7,A2
M,5.355,4.095,1.365,10,3.898125,8,A2
M,9.765,7.455,2.52,66.4375,33.721875,8,A2
M,10.29,7.98,2.31,69.25,36.320625,8,A2
M,9.87,7.665,2.52,79.43875,40.46625,8,A2
M,12.075,9.45,3.465,120.6875,61.6275,8,A2
M,9.975,8.085,2.52,70.25,35.76375,8,A2
M,9.975,7.56,2.1,53.5625,24.316875,7,A2
M,11.445,8.19,2.835,97.9375,52.284375,7,A2
M,11.97,9.66,3.57,112.9375,50.428125,7,A2
M,10.71,8.19,2.835,96.125,48.695625,8,A2
M,11.76,9.03,3.255,108.4375,49.5,8,A2
M,13.125,10.5,2.73,135.25,71.589375,8,A2
M,10.08,7.665,2.73,66.3125,29.761875,8,A2
M,12.18,9.45,2.52,108.5625,51.7275,8,A2
M,9.555,7.35,2.31,57.25,24.75,8,A2
M,11.235,8.505,2.94,102.25,49.7475,7,A2
M,8.505,6.51,2.1,48.125,21.40875,7,A2
M,9.975,7.77,2.625,81.125,42.94125,8,A2
M,9.87,7.77,2.73,65.3125,24.87375,7,A2
M,10.71,8.505,2.625,86.5625,40.46625,7,A2
M,12.915,10.605,3.99,175.375,83.098125,8,A2
M,9.765,7.56,2.31,61.9375,32.979375,7,A2
M,10.71,8.715,3.045,93.875,40.775625,8,A2
M,13.65,10.5,2.94,154.75,76.291875,8,A2
M,9.24,6.825,1.68,51.625,17.82,8,A2
M,11.655,9.135,2.94,93.6875,42.19875,8,A2
M,11.445,8.82,3.045,97.25,46.344375,7,A2
M,10.92,8.715,3.675,94.125,31.9275,8,A2
M,8.715,6.615,2.52,50.1875,24.62625,8,A2
M,8.82,7.035,2.415,46.125,21.16125,8,A2
M,7.35,5.565,1.89,28.1875,12.313125,7,A2
M,9.87,7.875,2.73,65.375,26.4825,8,A2
M,10.185,7.665,3.255,128.625,52.408125,8,A2
M,10.605,8.4,3.15,96.875,42.631875,7,A2
M,14.49,11.025,3.675,212.5625,102.155625,8,A2
M,7.77,5.88,2.205,28,10.085625,8,A2
M,10.185,8.19,2.835,77.125,30.9375,8,A2
M,11.13,8.61,2.94,94.3125,43.250625,8,A2
M,13.02,9.45,4.2,107.25,53.026875,8,A2
M,13.545,10.92,3.675,195.125,87.73875,8,A2
M,11.445,9.45,3.15,97.5625,46.963125,8,A2
M,10.92,8.4,2.52,72.5,28.9575,8,A2
M,12.18,9.555,3.15,139.25,58.966875,8,A2
M,11.655,9.135,3.045,115.0625,49.995,8,A2
M,8.82,7.245,2.205,53.75,21.65625,7,A2
M,9.87,7.875,2.415,53.3125,20.851875,8,A2
M,9.87,7.56,2.205,68,33.4125,7,A2
M,11.025,7.98,2.625,81.25,37.49625,7,A2
M,13.545,10.71,3.36,166.25,82.479375,9,A3
M,14.07,10.5,3.99,189.875,76.23,10,A3
M,12.075,9.555,2.835,113.375,52.531875,9,A3
M,10.815,8.295,2.52,80.75,35.26875,9,A3
M,13.125,10.395,3.255,147.125,62.555625,9,A3
M,9.24,7.875,2.73,60.875,27.9675,9,A3
M,11.865,9.03,2.73,98,43.250625,9,A3
M,13.125,9.975,3.675,167.5625,81.18,10,A3
M,11.025,8.505,2.835,94.6875,40.899375,10,A3
M,12.285,9.555,2.94,121.25,57.1725,9,A3
M,11.235,9.135,3.15,90.625,33.28875,9,A3
M,9.24,7.455,2.625,59.6875,16.335,9,A3
M,14.595,11.55,4.305,271.625,140.20875,10,A3
M,13.545,10.605,3.465,163.375,53.645625,10,A3
M,11.76,9.03,3.045,112.4375,57.42,9,A3
M,13.44,10.395,3.57,142.375,66.763125,10,A3
M,13.44,10.815,1.68,130.25,63.73125,10,A3
M,13.545,10.71,4.095,153.25,72.826875,10,A3
M,13.02,10.185,3.465,141.5625,64.783125,9,A3
M,9.66,7.875,2.73,71.6875,30.999375,9,A3
M,10.71,7.98,2.835,85.125,42.508125,9,A3
M,6.93,5.25,1.89,24.625,10.51875,10,A3
M,11.76,9.765,3.045,110.9375,41.394375,9,A3
M,13.23,10.5,3.885,170.25,71.589375,10,A3
M,10.5,7.77,3.15,132.6875,61.1325,9,A3
M,7.875,5.88,1.995,27.8125,10.828125,10,A3
M,12.915,9.555,3.15,116.6875,47.2725,10,A3
M,13.86,10.5,3.465,164.9375,82.54125,9,A3
M,9.87,7.665,2.835,69.13875,29.638125,10,A3
M,7.14,5.355,1.995,26.625,10.02375,9,A3
M,13.335,10.815,3.465,153.625,62.555625,10,A3
M,14.49,11.13,3.99,199.4375,83.9025,10,A3
M,8.61,6.3,2.1,37.625,15.345,9,A3
M,14.07,11.025,3.78,207.6875,99.061875,10,A3
M,12.075,9.345,3.36,104.875,49.561875,9,A3
M,12.18,9.45,3.36,108.4375,48.695625,9,A3
M,12.39,9.975,3.465,134.625,56.244375,9,A3
M,12.285,9.975,3.15,133.125,65.773125,10,A3
M,12.6,10.71,3.885,160.625,75.425625,9,A3
M,7.14,5.565,1.785,24.205,9.52875,10,A3
M,9.975,7.455,2.625,57.8125,23.0175,9,A3
M,10.5,8.19,2.835,97.6875,44.67375,9,A3
M,11.445,8.925,2.835,105.5625,46.15875,10,A3
M,12.495,9.66,3.255,128.75,52.903125,10,A3
M,7.245,5.67,1.995,24.625,8.229375,9,A3
M,9.66,7.665,2.625,58.375,23.450625,10,A3
M,12.075,9.45,3.255,110.75,44.611875,9,A3
M,13.44,10.29,3.255,141.0625,59.02875,9,A3
M,12.075,9.765,3.15,135,73.63125,9,A3
M,13.335,10.395,3.57,171.1875,81.30375,10,A3
M,9.975,7.875,2.73,64.6875,25.678125,10,A3
M,12.6,9.765,3.255,127.0625,63.36,10,A3
M,12.81,10.08,3.885,163.3125,85.325625,10,A3
M,6.195,4.725,1.89,18.54,5.94,9,A3
M,13.125,9.555,3.57,135.25,61.318125,9,A3
M,11.97,9.45,3.255,149.375,69.609375,10,A3
M,14.385,10.71,3.465,193.125,84.8925,10,A3
M,11.55,9.45,3.15,126.8125,50.36625,10,A3
M,9.765,7.56,2.205,61,23.265,10,A3
M,13.545,10.5,4.095,175.125,76.291875,10,A3
M,11.55,9.135,2.94,95.3125,40.46625,10,A3
M,12.18,9.45,2.94,103,42.879375,10,A3
M,10.08,7.875,3.045,97.125,26.73,9,A3
M,10.395,8.295,2.625,67.6875,29.390625,9,A3
M,11.76,9.45,3.255,126.239375,44.488125,10,A3
M,9.66,7.875,2.94,63.8125,23.76,9,A3
M,14.385,10.605,3.99,191.625,82.54125,10,A3
M,12.39,9.24,2.835,120.75,54.32625,10,A3
M,11.13,8.505,3.15,103.9375,43.56,10,A3
M,13.125,10.08,3.78,152.875,69.91875,10,A3
M,9.87,7.56,2.835,62.625,20.604375,10,A3
M,13.44,10.5,3.57,181.8125,79.4475,9,A3
M,8.925,7.14,2.52,48.5,18.43875,10,A3
M,10.71,8.61,3.255,160.3125,70.41375,9,A3
M,14.805,11.76,3.465,209.375,98.62875,10,A3
M,10.5,8.505,2.94,76.9375,29.82375,9,A3
M,13.125,10.92,3.675,176.3125,85.51125,10,A3
M,15.855,12.18,4.305,250.8125,102.650625,10,A3
M,12.075,9.45,2.835,115.1875,43.8075,9,A3
M,13.02,10.185,3.255,131.125,57.1725,10,A3
M,12.285,9.87,3.465,176.125,99,10,A3
M,12.495,9.135,3.36,132.125,52.655625,9,A3
M,10.395,7.98,2.52,59.25,24.37875,10,A3
M,13.755,11.55,3.78,159.25,72.5175,10,A3
M,13.125,10.395,3.255,128.125,56.925,9,A3
M,10.185,7.77,2.94,71.5625,25.245,10,A3
M,15.015,11.865,3.675,244.0625,94.606875,10,A3
M,11.97,9.87,3.255,148.25,78.643125,10,A3
M,13.65,10.92,3.255,171,76.539375,9,A3
M,13.125,10.5,3.885,155.3125,74.188125,10,A3
M,12.39,10.29,3.465,150.875,69.17625,10,A3
M,12.285,10.08,3.885,130,53.7075,10,A3
M,12.495,9.87,3.255,150.1875,60.885,10,A3
M,8.925,7.035,2.1,51.0625,21.718125,9,A3
M,13.65,10.815,3.675,183.25,83.77875,10,A3
M,7.77,5.985,2.1,28.5,8.353125,10,A3
M,10.71,8.505,2.73,89.6875,46.096875,9,A3
M,12.495,9.975,2.94,128.8125,60.946875,10,A3
M,7.35,5.355,1.365,22.375,8.724375,10,A3
M,11.97,9.135,3.57,109.125,47.2725,10,A3
M,9.555,7.35,2.205,50.125,19.490625,9,A3
M,13.86,11.13,3.675,197.875,91.513125,10,A3
M,7.035,5.565,1.995,24.6875,9.838125,9,A3
M,13.65,10.71,3.36,172.9375,79.014375,9,A3
M,13.23,10.29,3.255,156.5625,77.9625,9,A3
M,13.65,10.815,2.625,147.5625,64.783125,9,A3
M,12.81,9.975,3.675,128,50.61375,9,A3
M,9.66,7.35,2.625,64.5625,23.326875,9,A3
M,13.02,9.87,3.15,174.134375,72.64125,9,A3
M,10.815,7.35,3.255,115.3125,51.789375,9,A3
M,12.915,9.975,3.57,141.125,59.338125,10,A3
M,13.125,10.815,3.465,152.125,82.54125,10,A3
M,12.39,10.185,3.255,134.8125,56.120625,9,A3
M,7.98,6.09,2.52,35.375,14.540625,9,A3
M,12.6,9.66,3.15,155.875,66.020625,9,A3
M,10.92,8.4,3.045,97.0625,43.621875,9,A3
M,9.975,7.875,2.625,74.125,34.27875,10,A3
M,11.445,8.61,2.94,92.125,43.18875,9,A3
M,8.925,6.93,2.73,55.0625,18.81,9,A3
M,12.495,9.765,2.625,99.875,40.156875,10,A3
M,11.97,9.555,3.15,119,48.200625,9,A3
M,14.07,11.025,3.78,186.4375,90.09,9,A3
M,11.55,8.82,3.36,167.5625,78.271875,10,A3
M,8.4,6.09,2.415,34.9375,13.798125,9,A3
M,12.81,9.87,3.465,131.5,61.6275,9,A3
M,11.655,9.66,3.36,107.5,41.394375,10,A3
M,13.02,10.29,3.15,149.375,56.986875,9,A3
M,13.125,10.29,3.465,150.625,64.040625,10,A3
M,9.975,7.77,2.625,81.875,32.9175,10,A3
M,12.6,10.08,3.465,114.5625,51.170625,9,A3
M,13.23,10.29,3.15,149.4375,72.331875,9,A3
M,9.765,7.14,2.205,60.75,28.58625,9,A3
M,8.925,6.825,2.52,46.9375,17.5725,9,A3
M,15.12,11.55,4.305,270.625,136.805625,10,A3
M,13.02,9.975,4.095,169.8125,73.445625,10,A3
M,11.13,8.715,2.52,88.25,41.518125,9,A3
M,12.705,9.975,3.675,156.5625,68.990625,9,A3
M,13.965,10.5,3.675,162.1875,75.178125,9,A3
M,10.5,8.4,2.625,74.6875,33.4125,9,A3
M,12.81,9.87,3.36,127.75,55.56375,9,A3
M,11.445,8.61,2.52,99.125,53.7075,9,A3
M,9.66,7.35,2.52,64.375,27.72,10,A3
M,10.815,8.4,2.94,79.1875,35.64,9,A3
M,15.12,12.285,4.62,244.035,112.14875,11,A4
M,9.87,7.875,2.52,70.95375,27.685,12,A4
M,13.44,12.075,3.675,185.95875,76.5625,11,A4
M,11.55,9.45,3.57,103.275,38.8325,11,A4
M,8.295,6.195,2.415,40.29,14.76125,12,A4
M,15.12,11.76,3.78,202.27875,84.6475,11,A4
M,14.28,11.235,3.885,204.8925,88.75125,12,A4
M,13.02,9.765,3.99,171.04125,69.88625,11,A4
M,13.65,11.025,3.99,205.59375,95.1825,11,A4
M,11.97,9.66,2.94,121.57125,54.69625,12,A4
M,14.07,11.025,3.465,205.08375,83.545,11,A4
M,10.5,7.98,3.255,75.92625,26.15375,12,A4
M,13.545,10.395,3.99,196.2225,74.90875,12,A4
M,15.12,12.075,4.515,277.0575,116.55875,12,A4
M,12.075,9.87,2.94,106.78125,42.69125,11,A4
M,13.23,10.29,3.78,144.075,56.105,12,A4
M,13.65,11.025,3.99,174.48375,73.19375,11,A4
M,11.865,9.24,2.415,117.10875,49.49,11,A4
M,12.6,9.975,3.15,138.8475,63.63875,11,A4
M,12.285,10.71,3.36,155.295,78.2775,11,A4
M,7.98,5.985,2.1,33.97875,14.0875,11,A4
M,12.705,10.5,3.675,139.995,58.37125,12,A4
M,10.185,8.085,2.625,60.88125,24.5,12,A4
M,8.61,6.825,2.52,47.74875,19.355,12,A4
M,7.455,5.88,1.995,31.30125,11.69875,11,A4
M,11.865,9.45,2.94,128.20125,46.36625,12,A4
M,12.915,10.185,4.515,122.59125,51.695,11,A4
M,13.23,10.605,3.15,167.85375,77.48125,11,A4
M,13.965,11.025,3.78,182.1975,82.25875,12,A4
M,7.875,6.3,2.1,31.42875,12.74,11,A4
M,11.55,8.82,3.045,94.15875,39.3225,11,A4
M,12.915,9.87,3.045,131.13375,54.32875,11,A4
M,14.28,11.34,3.99,206.9325,87.77125,12,A4
M,13.965,10.92,3.675,174.99375,74.235,12,A4
M,13.02,10.185,3.255,131.26125,52.0625,12,A4
M,13.44,10.605,3.78,165.3675,72.275,11,A4
M,8.085,6.51,2.1,36.27375,13.04625,11,A4
M,15.75,11.55,3.78,241.3575,115.395,11,A4
M,10.5,8.085,2.835,70.2525,27.50125,11,A4
M,8.61,6.51,2.625,45.83625,17.33375,11,A4
M,13.545,10.92,3.675,208.59,95.4275,11,A4
M,15.12,11.865,4.2,268.45125,124.5825,12,A4
M,14.805,11.55,4.41,189.4363125,80.2375,11,A4
M,13.125,10.5,3.78,174.73875,79.0125,12,A4
M,12.6,10.08,3.255,129.285,55.2475,11,A4
M,11.025,8.4,3.57,93.13875,34.1775,11,A4
M,13.65,10.71,3.675,184.365,79.44125,12,A4
M,10.5,8.61,3.15,84.405,34.48375,11,A4
M,11.76,9.555,3.255,101.6175,41.65,11,A4
M,13.02,10.08,3.255,160.07625,64.5575,11,A4
M,12.81,10.185,3.675,158.67375,66.64,12,A4
M,13.125,9.87,3.78,144.84,55.2475,11,A4
M,13.125,10.185,3.57,183.2175,71.72375,11,A4
M,9.03,7.245,2.415,38.82375,11.33125,11,A4
M,15.015,11.55,3.99,255.57375,128.19625,12,A4
M,15.54,12.495,3.99,296.24625,140.81375,11,A4
M,12.495,9.555,3.045,120.105,52.675,11,A4
M,12.81,10.08,3.465,158.61,77.72625,12,A4
M,12.6,9.66,3.57,150.51375,55.86,11,A4
M,13.125,10.395,3.885,176.39625,87.03625,11,A4
M,13.335,10.395,3.15,137.8275,59.10625,11,A4
M,12.915,9.87,3.675,158.355,69.51875,11,A4
M,13.755,11.025,3.36,186.15,84.035,11,A4
M,13.65,10.605,3.99,162.435,72.275,11,A4
M,14.28,11.445,3.885,213.18,86.66875,11,A4
M,13.335,10.5,3.465,162.3075,80.05375,12,A4
M,12.39,9.66,2.73,140.505,55.7375,12,A4
M,12.495,9.87,3.675,147.2809875,46.795,12,A4
M,13.755,10.71,4.515,227.39625,108.84125,11,A4
M,13.755,10.92,3.78,190.23,88.01625,11,A4
M,14.7,11.655,4.2,236.895,89.425,11,A4
M,14.385,11.13,3.57,198.9,79.2575,11,A4
M,9.87,7.77,2.835,69.7425,27.195,12,A4
M,11.34,8.82,2.835,102.95625,42.69125,11,A4
M,11.55,9.66,2.73,90.33375,37.3625,12,A4
M,11.97,9.555,3.255,106.08,43.91625,11,A4
M,13.125,9.87,3.57,148.72875,56.41125,11,A4
M,9.66,7.875,2.835,62.92125,22.785,12,A4
M,8.4,6.51,2.31,40.035,16.905,11,A4
M,9.555,7.455,2.73,65.6625,24.5,11,A4
M,13.125,10.29,3.465,142.35375,59.96375,11,A4
M,15.435,12.285,3.885,270.81,116.62,11,A4
M,13.335,10.92,3.675,164.73,73.5,11,A4
M,11.76,9.66,4.935,107.03625,40.73125,12,A4
M,9.765,7.56,1.68,62.22,23.3975,11,A4
M,11.55,8.82,3.045,92.3125,39.72375,14,A5
M,12.39,10.5,4.2,148.375,50.985,13,A5
M,13.86,11.13,3.57,173.8125,73.074375,14,A5
M,12.075,9.45,3.885,115.625,42.3225,14,A5
M,15.75,11.655,4.515,275.125,131.360625,13,A5
M,13.125,9.87,3.57,145.8125,56.986875,14,A5
M,11.97,9.765,2.625,106.125,46.839375,14,A5
M,11.97,10.08,3.675,148.125,58.6575,13,A5
M,12.495,10.5,3.465,132.5,49.7475,14,A5
M,12.285,9.555,3.255,141.625,68.248125,14,A5
M,13.02,10.185,3.255,128.6875,52.59375,13,A5
M,12.915,9.975,3.255,134.1875,54.140625,14,A5
M,14.28,10.92,3.465,184.6875,89.595,14,A5
M,13.335,10.5,3.57,179.3125,75.61125,13,A5
M,12.39,10.185,2.52,113.875,48.2625,13,A5
M,14.28,10.92,3.675,192.875,93.121875,14,A5
M,10.5,7.98,3.255,74.4375,26.420625,13,A5
M,11.025,8.4,2.73,103.6875,29.761875,13,A5
M,12.6,9.66,3.255,90.51125,35.26875,14,A5
M,13.65,11.445,3.36,162.61125,60.26625,14,A5
M,11.235,8.61,3.15,101.3125,42.69375,14,A5
M,11.235,9.24,3.15,84.5625,31.68,13,A5
M,11.655,9.45,3.045,119.86625,49.5,13,A5
M,13.23,10.605,3.255,138.125,60.885,14,A5
M,13.335,10.08,3.99,183.375,72.084375,13,A5
M,14.7,11.655,4.2,232.25,90.3375,13,A5
M,14.595,11.13,3.99,215.75,94.359375,13,A5
M,12.495,9.975,3.36,164.6875,50.49,13,A5
